Comment Date,Comment
"Apr 12, 2025, 12:43:40 PM","Rustig de spieren los gefietst, het wordt morgen een fantastische tijd 💪"
"Apr 26, 2025, 10:54:59 AM","Haha, ja, je moet daarvoor wel een paar keer omhoog op de Col du Barendrecht"
"May 3, 2025, 12:18:53 PM","Ik schat 110 keer, vorige week precies 100."
"May 30, 2025, 7:59:34 PM","Nee, op de racefiets. Mooie omgeving hier."
"Jun 5, 2025, 11:08:46 AM",Vandaag nog niet
"Jun 7, 2025, 5:28:08 PM",Ging lekker. Door de regen en modder wel een stuk zwaarder dan vorig jaar. Modderglijbanen 😅
"Jun 30, 2025, 6:23:36 AM","Haha, inderdaad. ‘s ochtends is het nog te doen 😊"
"Jul 22, 2025, 6:34:43 PM",👋
"Aug 3, 2025, 12:01:06 PM",Daar ga ik wel van uit. Sowieso rare vogels daar in Stellendam 😊
"Sep 4, 2025, 5:02:43 PM",Seven sisters zit morgen in de route 😊
"Oct 4, 2025, 2:29:50 PM",Eerste drie uur regen en laatste uur af en toe een hagelbui. Maar niet extreem slecht.
"Oct 22, 2025, 4:17:14 PM",Zo! Lekker bezig!
"Oct 31, 2025, 3:27:58 PM","Alleen bij het ontbijt, de lunch en het avondeten"
"Dec 13, 2025, 12:42:42 PM","Nee gaat hem niet worden. Eerste stuk vanochtend ging goed, maar na 8 km toch weer pijnlijke kuit"
"Dec 29, 2025, 3:07:33 PM","Thanks, I’ll try that next ride. By the way, great app. The 4K footage looks absolutely stunning. Really impressive quality."
"Jan 3, 2026, 4:11:37 PM","Ah, dat had ik niet gezien. Mooie omgeving!"
"Jan 24, 2026, 2:34:42 PM","Yeah, one of my favorite climbs. Spectacular scenery"
"Jan 25, 2026, 12:05:16 PM","Rustig begonnen met het leggen van een basis voor Swiss Iron Trail, die is 5000 hm"
"Jan 31, 2026, 7:41:48 PM",I didn’t see any bots. Do you mean the virtual partner?
"Feb 1, 2026, 4:32:44 PM",Would be nice to be able to add multiple virtual partners from previous rides or even from gpx files from real rides
"Mar 16, 2026, 8:58:44 PM",Bergdorpje in de Alpen
